set,swaps,log2_capacity,init,param,psynth,pcrypto,ver
merkle,1,20,35.870920208,2.173648321,0.93351202,0.403039513,0.009504397
merkle,500,20,39.51259446,946.984240261,371.946250638,92.440292687,0.007679134
merkle,1000,20,43.225329254,1896.560323253,728.532331655,184.055237894,0.006059302
merkle,1500,20,46.229450045,2965.167697648,1110.461704095,311.096761893,0.008664622
